read_id	fold
NC_039553.1_10075_10663_6:0:0_13:0:0_1f3/1	4
NC_039553.1_10075_10663_6:0:0_13:0:0_1f3/2	4
NC_039553.1_10076_10502_7:0:0_4:0:0_48e/1	3
NC_039553.1_10076_10502_7:0:0_4:0:0_48e/2	3
NC_039553.1_10078_10506_9:0:0_6:0:0_b75/1	1
NC_039553.1_10078_10506_9:0:0_6:0:0_b75/2	1
NC_039553.1_10078_10588_8:0:0_6:0:0_16ab/1	4
NC_039553.1_10078_10588_8:0:0_6:0:0_16ab/2	4
NC_039553.1_10079_10549_8:0:0_8:0:0_26af/1	1
NC_039553.1_10079_10549_8:0:0_8:0:0_26af/2	1
NC_039553.1_10079_10552_6:0:0_6:0:0_e11/1	4
NC_039553.1_10079_10552_6:0:0_6:0:0_e11/2	4
NC_039553.1_10079_10608_12:0:0_8:0:0_25da/1	0
NC_039553.1_10079_10608_12:0:0_8:0:0_25da/2	0
NC_039553.1_10086_10577_4:0:0_2:0:0_1e2c/1	2
NC_039553.1_10086_10577_4:0:0_2:0:0_1e2c/2	2
NC_039553.1_10094_10622_7:0:0_9:0:0_b6a/1	3
NC_039553.1_10094_10622_7:0:0_9:0:0_b6a/2	3
NC_039553.1_10096_10476_4:0:0_6:0:0_1a42/1	4
NC_039553.1_10096_10476_4:0:0_6:0:0_1a42/2	4
NC_039553.1_10096_10628_4:0:0_8:0:0_1728/1	4
NC_039553.1_10096_10628_4:0:0_8:0:0_1728/2	4
NC_039553.1_10097_10678_13:0:0_11:0:0_b0d/1	0
NC_039553.1_10097_10678_13:0:0_11:0:0_b0d/2	0
NC_039553.1_100_546_11:0:0_5:0:0_1db9/1	2
NC_039553.1_100_546_11:0:0_5:0:0_1db9/2	2
NC_039553.1_100_698_3:0:0_10:0:0_8a7/1	3
NC_039553.1_100_698_3:0:0_10:0:0_8a7/2	3
NC_039553.1_10102_10546_6:0:0_6:0:0_9a8/1	0
NC_039553.1_10102_10546_6:0:0_6:0:0_9a8/2	0
NC_039553.1_10102_10637_7:0:0_5:0:0_2384/1	1
NC_039553.1_10102_10637_7:0:0_5:0:0_2384/2	1
NC_039553.1_10104_10578_8:0:0_8:0:0_1c/1	1
NC_039553.1_10104_10578_8:0:0_8:0:0_1c/2	1
NC_039553.1_10104_10636_7:0:0_11:0:0_1f76/1	4
NC_039553.1_10104_10636_7:0:0_11:0:0_1f76/2	4
NC_039553.1_10107_10634_4:0:0_8:0:0_916/1	2
NC_039553.1_10107_10634_4:0:0_8:0:0_916/2	2
NC_039553.1_10109_10540_1:0:0_5:0:0_19eb/1	2
NC_039553.1_10109_10540_1:0:0_5:0:0_19eb/2	2
NC_039553.1_10110_10667_5:0:0_15:0:0_9c4/1	0
NC_039553.1_10110_10667_5:0:0_15:0:0_9c4/2	0
NC_039553.1_10111_10547_6:0:0_6:0:0_2383/1	2
NC_039553.1_10111_10547_6:0:0_6:0:0_2383/2	2
NC_039553.1_10114_10578_10:0:0_8:0:0_1b90/1	1
NC_039553.1_10114_10578_10:0:0_8:0:0_1b90/2	1
NC_039553.1_10118_10708_7:0:0_7:0:0_221e/1	0
NC_039553.1_10118_10708_7:0:0_7:0:0_221e/2	0
NC_039553.1_1011_1495_12:0:0_14:0:0_20d2/1	1
NC_039553.1_1011_1495_12:0:0_14:0:0_20d2/2	1
NC_039553.1_10123_10607_8:0:0_3:0:0_1de4/1	1
NC_039553.1_10123_10607_8:0:0_3:0:0_1de4/2	1
NC_039553.1_10123_10633_6:0:0_5:0:0_19a1/1	1
NC_039553.1_10123_10633_6:0:0_5:0:0_19a1/2	1
NC_039553.1_10125_10603_6:0:0_13:0:0_fa4/1	1
NC_039553.1_10125_10603_6:0:0_13:0:0_fa4/2	1
NC_039553.1_10126_10667_11:0:0_3:0:0_1ae/1	0
NC_039553.1_10126_10667_11:0:0_3:0:0_1ae/2	0
NC_039553.1_10127_10727_9:0:0_9:0:0_542/1	3
NC_039553.1_10127_10727_9:0:0_9:0:0_542/2	3
NC_039553.1_10128_10593_8:0:0_5:0:0_263f/1	3
NC_039553.1_10128_10593_8:0:0_5:0:0_263f/2	3
NC_039553.1_1012_1601_5:0:0_4:0:0_1b51/1	3
NC_039553.1_1012_1601_5:0:0_4:0:0_1b51/2	3
NC_039553.1_10130_10650_10:0:0_3:0:0_15bc/1	3
NC_039553.1_10130_10650_10:0:0_3:0:0_15bc/2	3
NC_039553.1_10130_10692_12:0:0_12:0:0_4a2/1	2
NC_039553.1_10130_10692_12:0:0_12:0:0_4a2/2	2
NC_039553.1_10134_10624_4:0:0_6:0:0_154c/1	0
NC_039553.1_10134_10624_4:0:0_6:0:0_154c/2	0
NC_039553.1_10135_10655_9:0:0_6:0:0_58d/1	1
NC_039553.1_10135_10655_9:0:0_6:0:0_58d/2	1
NC_039553.1_10136_10641_11:0:0_5:0:0_1963/1	0
NC_039553.1_10136_10641_11:0:0_5:0:0_1963/2	0
NC_039553.1_1013_1434_8:0:0_11:0:0_d2d/1	1
NC_039553.1_1013_1434_8:0:0_11:0:0_d2d/2	1
NC_039553.1_1013_1483_9:0:0_12:0:0_433/1	2
NC_039553.1_1013_1483_9:0:0_12:0:0_433/2	2
NC_039553.1_1013_1516_7:0:0_3:0:0_a3f/1	4
NC_039553.1_1013_1516_7:0:0_3:0:0_a3f/2	4
NC_039553.1_10143_10607_8:0:0_6:0:0_2125/1	3
NC_039553.1_10143_10607_8:0:0_6:0:0_2125/2	3
NC_039553.1_10146_10570_9:0:0_5:0:0_26b4/1	0
NC_039553.1_10146_10570_9:0:0_5:0:0_26b4/2	0
NC_039553.1_10146_10621_10:0:0_7:0:0_2074/1	2
NC_039553.1_10146_10621_10:0:0_7:0:0_2074/2	2
NC_039553.1_10147_10584_7:0:0_9:0:0_551/1	0
NC_039553.1_10147_10584_7:0:0_9:0:0_551/2	0
NC_039553.1_10155_10588_9:0:0_5:0:0_2680/1	0
NC_039553.1_10155_10588_9:0:0_5:0:0_2680/2	0
NC_039553.1_10156_10722_10:0:0_8:0:0_2429/1	1
NC_039553.1_10156_10722_10:0:0_8:0:0_2429/2	1
NC_039553.1_10157_10653_7:0:0_9:0:0_8db/1	0
NC_039553.1_10157_10653_7:0:0_9:0:0_8db/2	0
NC_039553.1_1015_1519_8:0:0_8:0:0_13ec/1	0
NC_039553.1_1015_1519_8:0:0_8:0:0_13ec/2	0
NC_039553.1_10160_10712_6:0:0_10:0:0_121/1	0
NC_039553.1_10160_10712_6:0:0_10:0:0_121/2	0
NC_039553.1_10161_10656_8:0:0_6:0:0_262f/1	1
NC_039553.1_10161_10656_8:0:0_6:0:0_262f/2	1
NC_039553.1_10161_10758_9:0:0_4:0:0_2402/1	4
NC_039553.1_10161_10758_9:0:0_4:0:0_2402/2	4
NC_039553.1_10162_10709_6:0:0_8:0:0_12a7/1	2
NC_039553.1_10162_10709_6:0:0_8:0:0_12a7/2	2
NC_039553.1_10165_10643_7:0:0_9:0:0_fee/1	0
NC_039553.1_10165_10643_7:0:0_9:0:0_fee/2	0
NC_039553.1_10169_10727_8:0:0_12:0:0_674/1	0
NC_039553.1_10169_10727_8:0:0_12:0:0_674/2	0
NC_039553.1_10172_10542_4:0:0_4:0:0_56/1	3
NC_039553.1_10172_10542_4:0:0_4:0:0_56/2	3
NC_039553.1_10172_10612_3:0:0_11:0:0_d11/1	2
NC_039553.1_10172_10612_3:0:0_11:0:0_d11/2	2
NC_039553.1_10172_10635_7:0:0_10:0:0_12bb/1	4
NC_039553.1_10172_10635_7:0:0_10:0:0_12bb/2	4
NC_039553.1_10174_10753_10:0:0_9:0:0_16fb/1	2
NC_039553.1_10174_10753_10:0:0_9:0:0_16fb/2	2
NC_039553.1_10177_10673_3:0:0_3:0:0_35c/1	2
NC_039553.1_10177_10673_3:0:0_3:0:0_35c/2	2
NC_039553.1_10178_10708_6:0:0_8:0:0_1d9a/1	1
NC_039553.1_10178_10708_6:0:0_8:0:0_1d9a/2	1
NC_039553.1_10179_10643_12:0:0_6:0:0_800/1	1
NC_039553.1_10179_10643_12:0:0_6:0:0_800/2	1
NC_039553.1_1017_1531_5:0:0_3:0:0_15a1/1	3
NC_039553.1_1017_1531_5:0:0_3:0:0_15a1/2	3
NC_039553.1_10180_10706_9:0:0_15:0:0_18dc/1	0
NC_039553.1_10180_10706_9:0:0_15:0:0_18dc/2	0
NC_039553.1_10181_10661_5:0:0_4:0:0_1344/1	3
NC_039553.1_10181_10661_5:0:0_4:0:0_1344/2	3
NC_039553.1_10181_10751_5:0:0_9:0:0_11b7/1	1
NC_039553.1_10181_10751_5:0:0_9:0:0_11b7/2	1
NC_039553.1_10182_10678_10:0:0_14:0:0_24fc/1	0
NC_039553.1_10182_10678_10:0:0_14:0:0_24fc/2	0
NC_039553.1_10185_10726_4:0:0_11:0:0_840/1	2
NC_039553.1_10185_10726_4:0:0_11:0:0_840/2	2
NC_039553.1_10187_10730_6:0:0_4:0:0_1b94/1	3
NC_039553.1_10187_10730_6:0:0_4:0:0_1b94/2	3
NC_039553.1_10192_10703_4:0:0_1:0:0_2246/1	3
NC_039553.1_10192_10703_4:0:0_1:0:0_2246/2	3
NC_039553.1_10193_10656_7:0:0_9:0:0_1202/1	0
NC_039553.1_10193_10656_7:0:0_9:0:0_1202/2	0
NC_039553.1_10194_10749_11:0:0_4:0:0_2442/1	0
NC_039553.1_10194_10749_11:0:0_4:0:0_2442/2	0
NC_039553.1_10195_10661_14:0:0_8:0:0_1710/1	2
NC_039553.1_10195_10661_14:0:0_8:0:0_1710/2	2
NC_039553.1_10196_10650_10:0:0_4:0:0_b21/1	4
NC_039553.1_10196_10650_10:0:0_4:0:0_b21/2	4
NC_039553.1_10197_10749_7:0:0_6:0:0_aa5/1	2
NC_039553.1_10197_10749_7:0:0_6:0:0_aa5/2	2
NC_039553.1_10198_10648_5:0:0_7:0:0_13ca/1	0
NC_039553.1_10198_10648_5:0:0_7:0:0_13ca/2	0
NC_039553.1_1019_1437_8:0:0_11:0:0_1e9b/1	2
NC_039553.1_1019_1437_8:0:0_11:0:0_1e9b/2	2
NC_039553.1_101_634_7:0:0_6:0:0_bd5/1	1
NC_039553.1_101_634_7:0:0_6:0:0_bd5/2	1
NC_039553.1_101_638_10:0:0_10:0:0_1ebf/1	1
NC_039553.1_101_638_10:0:0_10:0:0_1ebf/2	1
NC_039553.1_10205_10679_11:0:0_7:0:0_1b21/1	2
NC_039553.1_10205_10679_11:0:0_7:0:0_1b21/2	2
NC_039553.1_10212_10765_5:0:0_4:0:0_1d24/1	1
NC_039553.1_10212_10765_5:0:0_4:0:0_1d24/2	1
NC_039553.1_10216_10730_11:0:0_9:0:0_133/1	1
NC_039553.1_10216_10730_11:0:0_9:0:0_133/2	1
NC_039553.1_10216_10794_10:0:0_5:0:0_103a/1	1
NC_039553.1_10216_10794_10:0:0_5:0:0_103a/2	1
NC_039553.1_10219_10709_8:0:0_9:0:0_18b0/1	1
NC_039553.1_10219_10709_8:0:0_9:0:0_18b0/2	1
NC_039553.1_10219_10762_5:0:0_7:0:0_5c8/1	0
NC_039553.1_10219_10762_5:0:0_7:0:0_5c8/2	0
NC_039553.1_10231_10762_7:0:0_10:0:0_360/1	2
NC_039553.1_10231_10762_7:0:0_10:0:0_360/2	2
NC_039553.1_10234_10771_4:0:0_7:0:0_e5e/1	3
NC_039553.1_10234_10771_4:0:0_7:0:0_e5e/2	3
NC_039553.1_10237_10724_7:0:0_6:0:0_789/1	4
NC_039553.1_10237_10724_7:0:0_6:0:0_789/2	4
NC_039553.1_10239_10710_9:0:0_14:0:0_242/1	3
NC_039553.1_10239_10710_9:0:0_14:0:0_242/2	3
NC_039553.1_1023_1513_12:0:0_3:0:0_99/1	1
NC_039553.1_1023_1513_12:0:0_3:0:0_99/2	1
NC_039553.1_1023_1543_6:0:0_7:0:0_77a/1	1
NC_039553.1_1023_1543_6:0:0_7:0:0_77a/2	1
NC_039553.1_10240_10806_6:0:0_13:0:0_107e/1	1
NC_039553.1_10240_10806_6:0:0_13:0:0_107e/2	1
NC_039553.1_10243_10720_3:0:0_8:0:0_21bb/1	2
NC_039553.1_10243_10720_3:0:0_8:0:0_21bb/2	2
NC_039553.1_10244_10800_9:0:0_14:0:0_42c/1	2
NC_039553.1_10244_10800_9:0:0_14:0:0_42c/2	2
NC_039553.1_10246_10772_7:0:0_6:0:0_5fd/1	4
NC_039553.1_10246_10772_7:0:0_6:0:0_5fd/2	4
NC_039553.1_10247_10700_6:0:0_6:0:0_25ff/1	3
NC_039553.1_10247_10700_6:0:0_6:0:0_25ff/2	3
NC_039553.1_10247_10732_8:0:0_11:0:0_849/1	4
NC_039553.1_10247_10732_8:0:0_11:0:0_849/2	4
NC_039553.1_1024_1447_6:0:0_10:0:0_2512/1	4
NC_039553.1_1024_1447_6:0:0_10:0:0_2512/2	4
NC_039553.1_10251_10800_4:0:0_5:0:0_d1c/1	3
NC_039553.1_10251_10800_4:0:0_5:0:0_d1c/2	3
NC_039553.1_10255_10808_9:0:0_9:0:0_664/1	0
NC_039553.1_10255_10808_9:0:0_9:0:0_664/2	0
NC_039553.1_10257_10668_8:0:0_11:0:0_166a/1	1
NC_039553.1_10257_10668_8:0:0_11:0:0_166a/2	1
NC_039553.1_10259_10731_9:0:0_8:0:0_1f/1	1
NC_039553.1_10259_10731_9:0:0_8:0:0_1f/2	1
NC_039553.1_1025_1503_4:0:0_6:0:0_ab5/1	3
NC_039553.1_1025_1503_4:0:0_6:0:0_ab5/2	3
NC_039553.1_1025_1521_8:0:0_7:0:0_17b2/1	2
NC_039553.1_1025_1521_8:0:0_7:0:0_17b2/2	2
NC_039553.1_10262_10836_5:0:0_11:0:0_650/1	2
NC_039553.1_10262_10836_5:0:0_11:0:0_650/2	2
NC_039553.1_10264_10725_10:0:0_8:0:0_6d0/1	1
NC_039553.1_10264_10725_10:0:0_8:0:0_6d0/2	1
NC_039553.1_10264_10743_2:0:0_12:0:0_1a95/1	2
NC_039553.1_10264_10743_2:0:0_12:0:0_1a95/2	2
NC_039553.1_10266_10724_5:0:0_4:0:0_35e/1	3
NC_039553.1_10266_10724_5:0:0_4:0:0_35e/2	3
NC_039553.1_10267_10746_10:0:0_7:0:0_1e0d/1	0
NC_039553.1_10267_10746_10:0:0_7:0:0_1e0d/2	0
NC_039553.1_10271_10720_3:0:0_9:0:0_1bca/1	2
NC_039553.1_10271_10720_3:0:0_9:0:0_1bca/2	2
NC_039553.1_10271_10793_6:0:0_5:0:0_13b1/1	1
NC_039553.1_10271_10793_6:0:0_5:0:0_13b1/2	1
NC_039553.1_10274_10830_5:0:0_3:0:0_1333/1	0
NC_039553.1_10274_10830_5:0:0_3:0:0_1333/2	0
NC_039553.1_10275_10764_6:0:0_3:0:0_9e5/1	0
NC_039553.1_10275_10764_6:0:0_3:0:0_9e5/2	0
NC_039553.1_10275_10772_4:0:0_6:0:0_9fa/1	4
NC_039553.1_10275_10772_4:0:0_6:0:0_9fa/2	4
NC_039553.1_1027_1514_2:0:0_8:0:0_10a2/1	3
NC_039553.1_1027_1514_2:0:0_8:0:0_10a2/2	3
NC_039553.1_10280_10817_4:0:0_10:0:0_9e0/1	0
NC_039553.1_10280_10817_4:0:0_10:0:0_9e0/2	0
NC_039553.1_10283_10728_3:0:0_7:0:0_26c4/1	3
NC_039553.1_10283_10728_3:0:0_7:0:0_26c4/2	3
NC_039553.1_10283_10836_7:0:0_7:0:0_1aed/1	4
NC_039553.1_10283_10836_7:0:0_7:0:0_1aed/2	4
NC_039553.1_10284_10698_10:0:0_3:0:0_1c4d/1	2
NC_039553.1_10284_10698_10:0:0_3:0:0_1c4d/2	2
NC_039553.1_10284_10723_9:0:0_11:0:0_2ba/1	3
NC_039553.1_10284_10723_9:0:0_11:0:0_2ba/2	3
NC_039553.1_10284_10808_6:0:0_6:0:0_d8a/1	1
NC_039553.1_10284_10808_6:0:0_6:0:0_d8a/2	1
NC_039553.1_10287_10763_9:0:0_11:0:0_25fb/1	2
NC_039553.1_10287_10763_9:0:0_11:0:0_25fb/2	2
NC_039553.1_10290_10744_6:0:0_8:0:0_c2b/1	4
NC_039553.1_10290_10744_6:0:0_8:0:0_c2b/2	4
NC_039553.1_10291_10781_9:0:0_9:0:0_2593/1	4
NC_039553.1_10291_10781_9:0:0_9:0:0_2593/2	4
NC_039553.1_10291_10793_9:0:0_5:0:0_1bd9/1	0
NC_039553.1_10291_10793_9:0:0_5:0:0_1bd9/2	0
NC_039553.1_10292_10824_5:0:0_6:0:0_7d8/1	0
NC_039553.1_10292_10824_5:0:0_6:0:0_7d8/2	0
NC_039553.1_10298_10757_4:0:0_3:0:0_1524/1	1
NC_039553.1_10298_10757_4:0:0_3:0:0_1524/2	1
NC_039553.1_10299_10810_3:0:0_7:0:0_12c3/1	0
NC_039553.1_10299_10810_3:0:0_7:0:0_12c3/2	0
NC_039553.1_1029_1547_12:0:0_11:0:0_14a/1	4
NC_039553.1_1029_1547_12:0:0_11:0:0_14a/2	4
NC_039553.1_10300_10784_6:0:0_10:0:0_848/1	4
NC_039553.1_10300_10784_6:0:0_10:0:0_848/2	4
NC_039553.1_10300_10796_11:0:0_7:0:0_d8b/1	2
NC_039553.1_10300_10796_11:0:0_7:0:0_d8b/2	2
NC_039553.1_10300_10809_3:0:0_7:0:0_b7a/1	1
NC_039553.1_10300_10809_3:0:0_7:0:0_b7a/2	1
NC_039553.1_10301_10883_8:0:0_6:0:0_587/1	3
NC_039553.1_10301_10883_8:0:0_6:0:0_587/2	3
NC_039553.1_10307_10905_7:0:0_6:0:0_506/1	3
NC_039553.1_10307_10905_7:0:0_6:0:0_506/2	3
NC_039553.1_10309_10810_7:0:0_6:0:0_a10/1	2
NC_039553.1_10309_10810_7:0:0_6:0:0_a10/2	2
NC_039553.1_1030_1501_10:0:0_9:0:0_1b6d/1	0
NC_039553.1_1030_1501_10:0:0_9:0:0_1b6d/2	0
NC_039553.1_10312_10832_6:0:0_6:0:0_12ba/1	1
NC_039553.1_10312_10832_6:0:0_6:0:0_12ba/2	1
NC_039553.1_10314_10678_9:0:0_7:0:0_48d/1	1
NC_039553.1_10314_10678_9:0:0_7:0:0_48d/2	1
NC_039553.1_10316_10844_13:0:0_7:0:0_83a/1	2
NC_039553.1_10316_10844_13:0:0_7:0:0_83a/2	2
NC_039553.1_10320_10857_2:0:0_3:0:0_143c/1	1
NC_039553.1_10320_10857_2:0:0_3:0:0_143c/2	1
NC_039553.1_10325_10811_7:0:0_9:0:0_2270/1	2
NC_039553.1_10325_10811_7:0:0_9:0:0_2270/2	2
NC_039553.1_10326_10865_11:0:0_9:0:0_2187/1	4
NC_039553.1_10326_10865_11:0:0_9:0:0_2187/2	4
NC_039553.1_10328_10833_4:0:0_10:0:0_307/1	0
NC_039553.1_10328_10833_4:0:0_10:0:0_307/2	0
NC_039553.1_10336_10858_7:0:0_10:0:0_16ca/1	0
NC_039553.1_10336_10858_7:0:0_10:0:0_16ca/2	0
NC_039553.1_10336_10887_5:0:0_4:0:0_24dc/1	2
NC_039553.1_10336_10887_5:0:0_4:0:0_24dc/2	2
NC_039553.1_10338_10835_6:0:0_4:0:0_1ec3/1	0
NC_039553.1_10338_10835_6:0:0_4:0:0_1ec3/2	0
NC_039553.1_10339_10800_7:0:0_3:0:0_236c/1	0
NC_039553.1_10339_10800_7:0:0_3:0:0_236c/2	0
NC_039553.1_1033_1597_6:0:0_3:0:0_6b3/1	1
NC_039553.1_1033_1597_6:0:0_3:0:0_6b3/2	1
NC_039553.1_10342_10713_6:0:0_6:0:0_12c/1	4
NC_039553.1_10342_10713_6:0:0_6:0:0_12c/2	4
NC_039553.1_10344_10899_4:0:0_6:0:0_16b7/1	2
NC_039553.1_10344_10899_4:0:0_6:0:0_16b7/2	2
NC_039553.1_10346_10787_5:0:0_6:0:0_32c/1	1
NC_039553.1_10346_10787_5:0:0_6:0:0_32c/2	1
NC_039553.1_10346_10868_7:0:0_10:0:0_257e/1	2
NC_039553.1_10346_10868_7:0:0_10:0:0_257e/2	2
NC_039553.1_10347_10883_5:0:0_4:0:0_49a/1	4
NC_039553.1_10347_10883_5:0:0_4:0:0_49a/2	4
NC_039553.1_10348_10771_9:0:0_7:0:0_187e/1	2
NC_039553.1_10348_10771_9:0:0_7:0:0_187e/2	2
NC_039553.1_10350_10831_9:0:0_8:0:0_1432/1	1
NC_039553.1_10350_10831_9:0:0_8:0:0_1432/2	1
NC_039553.1_10352_10880_5:0:0_7:0:0_540/1	4
NC_039553.1_10352_10880_5:0:0_7:0:0_540/2	4
NC_039553.1_10354_10950_5:0:0_4:0:0_25f/1	0
NC_039553.1_10354_10950_5:0:0_4:0:0_25f/2	0
NC_039553.1_10357_10966_4:0:0_8:0:0_1eab/1	3
NC_039553.1_10357_10966_4:0:0_8:0:0_1eab/2	3
NC_039553.1_10358_10924_8:0:0_3:0:0_3d2/1	4
NC_039553.1_10358_10924_8:0:0_3:0:0_3d2/2	4
NC_039553.1_1035_1457_15:0:0_5:0:0_5cb/1	1
NC_039553.1_1035_1457_15:0:0_5:0:0_5cb/2	1
NC_039553.1_1035_1544_7:0:0_9:0:0_1065/1	4
NC_039553.1_1035_1544_7:0:0_9:0:0_1065/2	4
NC_039553.1_1035_1552_4:0:0_12:0:0_48a/1	1
NC_039553.1_1035_1552_4:0:0_12:0:0_48a/2	1
