read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_15_525_9:0:0_9:0:0_1e76	0	150	13.000	NC_039553.1	15	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986486	0.985714	1	0.000
NC_039553.1_17_520_4:0:0_8:0:0_25c	0	150	13.000	NC_039553.1	17	+	60	146M4S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	4	4	75	0.986665	0.985714	0	0.000
NC_039553.1_18_522_8:0:0_9:0:0_c84	0	150	13.000	NC_039553.1	18	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986486	0.985714	3	0.000
NC_039553.1_18_593_8:0:0_3:0:0_eca	0	150	13.000	NC_039553.1	18	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	3	0.000
NC_039553.1_18_482_5:0:0_7:0:0_1e4b	0	150	13.000	NC_039553.1	18	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	3	0.000
NC_039553.1_19_516_6:0:0_8:0:0_c1a	0	150	13.000	NC_039553.1	19	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	3	0.000
NC_039553.1_20_525_9:0:0_10:0:0_1b37	0	150	13.000	NC_039553.1	20	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_21_560_10:0:0_9:0:0_169b	0	150	13.000	NC_039553.1	21	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	0.000
NC_039553.1_23_443_2:0:0_8:0:0_1909	0	150	13.000	NC_039553.1	23	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986665	0.985714	0	0.000
NC_039553.1_25_571_7:0:0_8:0:0_1932	0	150	13.000	NC_039553.1	25	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_28_536_8:0:0_5:0:0_1f82	0	150	13.000	NC_039553.1	28	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	0.000
NC_039553.1_32_487_8:0:0_8:0:0_20f5	0	150	13.000	NC_039553.1	32	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972580	0.971429	2	1.000
NC_039553.1_34_520_8:0:0_3:0:0_691	0	150	13.000	NC_039553.1	34	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_34_452_2:0:0_16:0:0_d95	0	150	13.000	NC_039553.1	34	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
NC_039553.1_35_574_7:0:0_8:0:0_2035	0	150	13.000	NC_039553.1	35	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	0.000
NC_039553.1_36_542_8:0:0_9:0:0_1c3d	0	150	13.000	NC_039553.1	36	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_38_482_5:0:0_6:0:0_1022	0	150	13.000	NC_039553.1	38	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	0.000
NC_039553.1_39_591_8:0:0_6:0:0_2233	0	150	13.000	NC_039553.1	39	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986838	0.985714	0	0.000
NC_039553.1_41_525_6:0:0_11:0:0_45e	0	150	13.000	NC_039553.1	41	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	2	0.500
NC_039553.1_43_423_11:0:0_5:0:0_12c2	0	150	13.000	NC_039553.1	43	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	0	0.000
NC_039553.1_44_580_4:0:0_8:0:0_977	0	150	13.000	NC_039553.1	44	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
NC_039553.1_48_505_7:0:0_13:0:0_54b	0	150	13.000	NC_039553.1	48	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_48_553_10:0:0_6:0:0_5d2	0	150	13.000	NC_039553.1	48	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	0	0.000
NC_039553.1_49_603_10:0:0_3:0:0_a2c	0	150	13.000	NC_039553.1	49	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986467	0.985714	0	0.000
NC_039553.1_49_630_10:0:0_10:0:0_19c9	0	150	13.000	NC_039553.1	49	+	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_51_572_3:0:0_4:0:0_1a7e	0	150	13.000	NC_039553.1	51	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972222	0.971429	1	1.000
NC_039553.1_53_545_8:0:0_11:0:0_237d	0	150	13.000	NC_039553.1	53	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_55_593_6:0:0_7:0:0_1a5	0	150	13.000	NC_039553.1	55	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	0	0.000
NC_039553.1_55_477_15:0:0_11:0:0_2408	0	150	13.000	NC_039553.1	55	+	38	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.945159	0.942857	0	0.000
NC_039553.1_57_508_7:0:0_5:0:0_2c	0	150	13.000	NC_039553.1	57	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	0	0.000
NC_039553.1_59_610_11:0:0_13:0:0_299	0	150	13.000	NC_039553.1	59	+	60	131M19S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	19	19	75	0.971828	0.971429	0	0.000
NC_039553.1_59_571_5:0:0_6:0:0_675	0	150	13.000	NC_039553.1	59	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958333	0.957143	0	0.000
NC_039553.1_62_589_7:0:0_8:0:0_f24	0	150	13.000	NC_039553.1	62	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	1	1.000
NC_039553.1_62_500_6:0:0_4:0:0_1b5e	0	150	13.000	NC_039553.1	62	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	1	1.000
NC_039553.1_63_532_12:0:0_9:0:0_807	0	150	13.000	NC_039553.1	63	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	0	0.000
NC_039553.1_64_585_8:0:0_7:0:0_1e87	0	150	13.000	NC_039553.1	64	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_66_597_6:0:0_11:0:0_14ca	0	150	13.000	NC_039553.1	66	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	0	0.000
NC_039553.1_67_479_5:0:0_7:0:0_1539	0	150	13.000	NC_039553.1	67	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.959445	0.957143	0	0.000
NC_039553.1_67_566_8:0:0_8:0:0_22d5	0	150	13.000	NC_039553.1	67	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_68_584_6:0:0_7:0:0_3e1	0	150	13.000	NC_039553.1	68	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	1	1.000
NC_039553.1_68_556_5:0:0_4:0:0_499	0	150	13.000	NC_039553.1	68	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_68_606_5:0:0_9:0:0_24bb	0	150	13.000	NC_039553.1	68	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	1	1.000
NC_039553.1_70_555_6:0:0_4:0:0_49b	0	150	13.000	NC_039553.1	70	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
NC_039553.1_70_576_6:0:0_6:0:0_1b1a	0	150	13.000	NC_039553.1	70	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	0	0.000
NC_039553.1_71_588_8:0:0_5:0:0_414	0	150	13.000	NC_039553.1	71	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	0	0.000
NC_039553.1_74_552_7:0:0_8:0:0_b38	0	150	13.000	NC_039553.1	74	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	1	1.000
NC_039553.1_74_589_6:0:0_7:0:0_242a	0	150	13.000	NC_039553.1	74	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.942857	0.942857	1	1.000
NC_039553.1_75_568_9:0:0_6:0:0_b90	0	150	13.000	NC_039553.1	75	+	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
NC_039553.1_75_537_7:0:0_11:0:0_2116	0	150	13.000	NC_039553.1	75	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_76_674_4:0:0_12:0:0_2115	0	150	13.000	NC_039553.1	76	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	0	0.000
NC_039553.1_77_572_2:0:0_10:0:0_f56	0	150	13.000	NC_039553.1	77	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_79_661_9:0:0_8:0:0_2441	0	150	13.000	NC_039553.1	79	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
NC_039553.1_80_540_12:0:0_3:0:0_dc2	0	150	13.000	NC_039553.1	80	+	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	1	1.000
NC_039553.1_80_633_8:0:0_3:0:0_24cd	0	150	13.000	NC_039553.1	80	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	1	1.000
NC_039553.1_82_657_7:0:0_6:0:0_d05	0	150	13.000	NC_039553.1	82	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.930556	0.928571	0	0.000
NC_039553.1_89_578_7:0:0_6:0:0_18cf	0	150	13.000	NC_039553.1	89	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	0	0.000
NC_039553.1_90_584_5:0:0_3:0:0_21b3	0	150	13.000	NC_039553.1	90	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	1	1.000
NC_039553.1_92_583_5:0:0_12:0:0_1ff2	0	150	13.000	NC_039553.1	92	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	2	0.500
NC_039553.1_97_517_6:0:0_4:0:0_1732	0	150	13.000	NC_039553.1	97	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	0	0.000
NC_039553.1_100_698_3:0:0_10:0:0_8a7	0	150	13.000	NC_039553.1	100	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972580	0.971429	0	0.000
NC_039553.1_100_622_7:0:0_6:0:0_12db	0	150	13.000	NC_039553.1	100	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_100_546_11:0:0_5:0:0_1db9	0	150	13.000	NC_039553.1	100	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958333	0.957143	0	0.000
NC_039553.1_101_634_7:0:0_6:0:0_bd5	0	150	13.000	NC_039553.1	101	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_101_638_10:0:0_10:0:0_1ebf	0	150	13.000	NC_039553.1	101	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_104_623_5:0:0_5:0:0_1bb1	0	150	13.000	NC_039553.1	104	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	1	1.000
NC_039553.1_105_616_7:0:0_9:0:0_1718	0	150	13.000	NC_039553.1	105	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.944444	0.942857	0	0.000
NC_039553.1_106_546_8:0:0_3:0:0_241a	0	150	13.000	NC_039553.1	106	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_107_578_7:0:0_8:0:0_35b	0	150	13.000	NC_039553.1	107	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_109_569_11:0:0_4:0:0_7ae	0	150	13.000	NC_039553.1	109	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_111_587_6:0:0_6:0:0_f08	0	150	13.000	NC_039553.1	111	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_113_641_8:0:0_6:0:0_ba3	0	150	13.000	NC_039553.1	113	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	0	0.000
NC_039553.1_117_618_6:0:0_5:0:0_966	0	150	13.000	NC_039553.1	117	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	0	0.000
NC_039553.1_118_678_9:0:0_5:0:0_1352	0	150	13.000	NC_039553.1	118	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_121_636_7:0:0_3:0:0_1e68	0	150	13.000	NC_039553.1	121	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972600	0.971429	0	0.000
NC_039553.1_121_618_8:0:0_6:0:0_2555	0	150	13.000	NC_039553.1	121	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	0	0.000
NC_039553.1_122_686_5:0:0_9:0:0_3b0	0	150	13.000	NC_039553.1	122	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_123_726_11:0:0_4:0:0_1b74	0	150	13.000	NC_039553.1	123	+	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_125_709_11:0:0_7:0:0_ab7	0	150	13.000	NC_039553.1	125	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	1	1.000
NC_039553.1_127_517_7:0:0_1:0:0_f2e	0	150	13.000	NC_039553.1	127	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_127_521_5:0:0_6:0:0_1877	0	150	13.000	NC_039553.1	127	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_128_711_14:0:0_11:0:0_1239	0	150	13.000	NC_039553.1	128	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_129_581_5:0:0_7:0:0_1c0d	0	150	13.000	NC_039553.1	129	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986486	0.985714	0	0.000
NC_039553.1_132_657_5:0:0_4:0:0_459	0	150	13.000	NC_039553.1	132	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_132_613_7:0:0_7:0:0_1f05	0	150	13.000	NC_039553.1	132	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_135_609_6:0:0_8:0:0_ced	0	150	13.000	NC_039553.1	135	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_135_614_9:0:0_10:0:0_20ec	0	150	13.000	NC_039553.1	135	+	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_136_634_7:0:0_8:0:0_ebc	0	150	13.000	NC_039553.1	136	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	0.000
NC_039553.1_138_655_6:0:0_10:0:0_21c	0	150	13.000	NC_039553.1	138	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_138_592_3:0:0_8:0:0_ed9	0	150	13.000	NC_039553.1	138	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_139_623_8:0:0_10:0:0_17be	0	150	13.000	NC_039553.1	139	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_142_640_9:0:0_6:0:0_109	0	150	13.000	NC_039553.1	142	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_142_619_7:0:0_4:0:0_1258	0	150	13.000	NC_039553.1	142	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_146_632_7:0:0_11:0:0_286	0	150	13.000	NC_039553.1	146	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_148_728_4:0:0_8:0:0_1297	0	150	13.000	NC_039553.1	148	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_153_550_6:0:0_12:0:0_855	0	150	13.000	NC_039553.1	153	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_154_664_10:0:0_4:0:0_10ea	0	150	13.000	NC_039553.1	154	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	1	0.000
NC_039553.1_154_602_8:0:0_9:0:0_1fe0	0	150	13.000	NC_039553.1	154	+	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	1	0.000
NC_039553.1_155_692_7:0:0_8:0:0_130a	0	150	13.000	NC_039553.1	155	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	0	0.000
NC_039553.1_157_617_9:0:0_12:0:0_2394	0	150	13.000	NC_039553.1	157	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	1	1.000
NC_039553.1_159_611_4:0:0_9:0:0_79a	0	150	13.000	NC_039553.1	159	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	1	0.000
NC_039553.1_163_619_4:0:0_10:0:0_94	0	150	13.000	NC_039553.1	163	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
NC_039553.1_164_678_8:0:0_4:0:0_ad9	0	150	13.000	NC_039553.1	164	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_165_582_7:0:0_8:0:0_89e	0	150	13.000	NC_039553.1	165	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_174_695_10:0:0_3:0:0_b03	0	150	13.000	NC_039553.1	174	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	0	0.000
NC_039553.1_174_672_8:0:0_6:0:0_e5d	0	150	13.000	NC_039553.1	174	+	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_177_705_9:0:0_6:0:0_20d	0	150	13.000	NC_039553.1	177	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
NC_039553.1_180_631_4:0:0_3:0:0_1c44	0	150	13.000	NC_039553.1	180	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	1	0.000
NC_039553.1_184_718_9:0:0_10:0:0_315	0	150	13.000	NC_039553.1	184	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.942857	0.942857	0	0.000
NC_039553.1_184_707_8:0:0_4:0:0_1748	0	150	13.000	NC_039553.1	184	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_184_644_9:0:0_9:0:0_22d3	0	150	13.000	NC_039553.1	184	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_185_725_4:0:0_2:0:0_1b2a	0	150	13.000	NC_039553.1	185	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	0	0.000
NC_039553.1_187_657_9:0:0_13:0:0_1d71	0	150	13.000	NC_039553.1	187	+	50	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	1	0.000
NC_039553.1_187_655_5:0:0_8:0:0_20c4	0	150	13.000	NC_039553.1	187	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	1	0.000
